Loan Sanction Amount (USD),Gender,Age,Income (USD),Income Stability,Location,Loan Amount Request (USD),Current Loan Expenses (USD),Dependents,Credit Score,No. of Defaults,Has Active Credit Card,Co-Applicant
90522.89,M,59,NA,Low,Semi-Urban,139265.98,388.1,3,704.75,0,Unpossessed,1
103714.29,M,64,1545.57,Low,Semi-Urban,159560.45,498.49,1,707.22,0,Unpossessed,1
49893.46,M,22,4493.53,NA,Semi-Urban,62366.83,283.94,2,797.71,0,Unpossessed,1
19725.02,M,42,2139.98,Low,Semi-Urban,24656.28,124.14,2,852.17,0,Unpossessed,1
72773.64,F,36,NA,Low,Semi-Urban,97031.52,308.86,2,781.72,0,Active,1
21953.85,M,38,1919.85,Low,Semi-Urban,31362.64,260.79,4,756.17,1,Unpossessed,1
28654.07,F,47,1273.04,Low,Rural,38205.43,205.4,3,798.66,1,Active,1
41620.96,M,64,3418.19,Low,Rural,59458.51,358.26,1,809.85,0,Inactive,1
64711.19,M,32,4752.31,Low,Semi-Urban,92444.56,447.98,2,723.27,0,Active,1
47561.53,F,41,2918.66,Low,Urban,67945.04,361.46,NA,NA,0,Active,1
52204.32,M,18,NA,Low,Rural,74577.6,381.31,2,718.98,0,Unpossessed,1
147398.49,F,39,2100.78,Low,Semi-Urban,210569.27,537.7,1,699.5,0,Active,1
39678.78,M,58,1660.34,Low,Semi-Urban,49598.48,265.6,1,763.17,0,Active,1
118551.9,M,18,2877.12,Low,Semi-Urban,169359.86,1162.36,3,670.89,1,Active,1
34519.52,F,30,NA,Low,Semi-Urban,53106.96,162.12,1,NA,0,NA,1
59931.82,F,37,NA,Low,Urban,79909.09,397.51,2,773.58,1,Active,1
71775.49,F,28,3131.48,Low,Rural,102536.42,557.03,1,669.4,1,Unpossessed,1
95226.58,F,18,3496.45,Low,Semi-Urban,136037.97,604.69,2,831.56,0,Unpossessed,1
55609.5,M,65,NA,High,Semi-Urban,79442.15,381.79,2,684.07,0,Inactive,1
32934.27,F,64,967.86,Low,Semi-Urban,47048.96,240.63,2,671.05,0,Inactive,1
69130.36,M,33,1491.84,Low,Semi-Urban,98757.66,296.19,3,761.02,0,Inactive,1
89752.83,M,52,2182.76,Low,Semi-Urban,138081.27,552.45,NA,717.7,0,Inactive,1
183903.58,F,42,2462.09,Low,Rural,262719.4,702.81,3,798.13,0,Active,1
92267.78,F,32,2356.9,Low,Semi-Urban,141950.43,371.69,2,NA,0,Inactive,1
34197.62,M,61,NA,Low,Semi-Urban,42747.02,223.99,1,765.5,0,Active,1
96517,M,51,6014.8,Low,Urban,137881.43,704.56,5,758.89,0,Unpossessed,1
80183.88,M,21,2836.78,Low,Rural,123359.81,608.46,3,683.77,1,Active,1
35861.22,M,36,2142.63,Low,Semi-Urban,47814.96,261.43,1,847.83,1,Inactive,-999
18708.15,M,42,1239.81,Low,Semi-Urban,28781.77,197.86,2,745.39,0,Inactive,1
101740.24,F,31,NA,Low,Semi-Urban,145343.2,927.59,2,841.12,1,Inactive,1
15474.62,M,18,NA,Low,Semi-Urban,23807.1,123.46,1,682.32,0,Inactive,1
60397.22,M,35,3048.84,Low,Urban,86281.74,635.82,3,779.09,0,Active,1
61364.1,F,36,1256.46,Low,Semi-Urban,87663,501.31,3,760.06,0,Inactive,1
111145.5,M,18,1804.62,Low,Semi-Urban,138931.88,488.59,1,782.31,0,Active,1
19049.3,M,64,3637.7,NA,Rural,23811.63,162.44,2,811.11,0,Unpossessed,1
74317.66,F,26,4338.52,Low,Semi-Urban,106168.08,327.38,2,NA,0,Inactive,1
4023.18,M,43,2532.51,Low,Rural,6189.5,34.04,4,728.51,0,Inactive,1
113737.36,M,62,2334.17,Low,Semi-Urban,174980.55,639.42,NA,689.17,0,Inactive,1
76957.9,M,52,5023.72,Low,Semi-Urban,102610.53,762.16,4,792.47,0,Unpossessed,1
79991.33,M,51,2021.96,Low,Urban,114273.33,375.55,4,720.3,0,Active,1
35677.5,F,48,3404.88,Low,Urban,35677.5,358.57,2,851.44,1,Unpossessed,1
79702.75,M,37,3268.08,Low,Semi-Urban,113861.07,480.68,1,738.18,0,Unpossessed,1
60076.67,M,43,1637.51,Low,Semi-Urban,75095.84,417.84,3,815.75,1,Unpossessed,1
57043.52,F,26,5445.6,Low,Semi-Urban,81490.74,1118.79,4,722.17,0,Active,1
64555.47,M,43,NA,Low,Semi-Urban,99316.11,367.34,1,707.82,0,Inactive,1
74106.86,M,51,2470.74,Low,Semi-Urban,105866.95,834.14,3,651.64,0,Inactive,1
74354.98,M,44,NA,Low,Semi-Urban,114392.28,376.31,2,708.88,1,Unpossessed,1
141201.47,M,21,2137.01,Low,Semi-Urban,201716.39,498.39,2,804.32,0,Inactive,1
84881.25,F,18,1893.91,Low,Semi-Urban,113175,383.49,2,825.06,0,NA,1
25381.43,M,55,2755.69,Low,Semi-Urban,39048.36,332.61,1,650.09,0,Unpossessed,1
86895.46,F,50,NA,Low,Semi-Urban,124136.37,324.74,3,665.98,0,Active,1
90320.49,M,50,NA,NA,Semi-Urban,112900.61,542.32,3,801.33,0,Active,1
128816.64,M,44,3466.88,Low,Semi-Urban,161020.8,700.37,NA,788.67,0,Active,1
68786.66,F,60,3462.78,High,Semi-Urban,91715.54,271.26,2,873.28,0,Active,0
35051.91,M,37,1631.16,Low,Semi-Urban,53926.02,159.06,3,652.46,0,Active,1
31732.88,M,23,1970.12,Low,Semi-Urban,45332.69,295.74,1,655.33,0,Unpossessed,1
23613.54,F,65,911.24,High,Rural,31484.72,176.33,2,851.02,0,Active,1
50382.81,M,18,1098.18,Low,Semi-Urban,77512.02,346.47,2,668.87,0,Inactive,1
62795.28,F,57,4244.06,Low,Semi-Urban,89707.55,471.27,1,721.5,0,Inactive,1
94852.58,M,65,2662.74,High,Semi-Urban,126470.1,407.09,1,774.11,0,Inactive,1
29887.46,F,34,2940.62,Low,Urban,37359.33,191.58,NA,842.73,0,Active,1
76519.58,F,43,1935.49,Low,Semi-Urban,109313.69,459.13,2,650.39,0,Active,1
109092.8,M,56,4252.56,Low,Semi-Urban,155846.86,465.13,3,824.43,0,Unpossessed,1
23009.92,F,46,824,Low,Semi-Urban,28762.4,173.77,2,770.16,1,NA,1
98088.64,F,64,2534.74,Low,Rural,130784.86,632.41,2,791.81,0,Active,1
53286.37,F,18,3089.34,Low,Urban,81979.03,395.75,NA,652.28,0,Unpossessed,1
43814.16,F,25,NA,Low,Semi-Urban,67406.4,339.62,3,713.59,0,Inactive,1
19533.86,F,59,997.39,Low,Semi-Urban,26045.14,137.21,2,NA,0,Unpossessed,1
65605.62,F,65,3320.45,High,Semi-Urban,93722.31,320.44,2,805.44,1,Unpossessed,1
19540.69,M,26,1272.64,Low,Semi-Urban,27915.27,132.96,1,673.66,0,Unpossessed,1
20197.76,M,58,NA,Low,Rural,31073.48,214.31,2,658.98,1,Active,1
17363.93,M,54,NA,Low,Semi-Urban,24805.62,125.15,NA,675.64,0,Active,1
17421.32,M,44,2030.99,Low,Semi-Urban,26802.03,138.45,2,688.22,0,Inactive,1
26355.55,M,47,2898.53,Low,Semi-Urban,37650.79,230.72,5,784.91,0,Active,1
69018.88,M,60,3647.48,Low,Semi-Urban,92025.17,271.1,2,758.65,0,Active,1
43154.56,M,27,NA,Low,Semi-Urban,61649.37,500.62,1,768.21,0,Inactive,1
77560.23,M,65,1815.74,High,Semi-Urban,96950.29,478.46,2,NA,0,Unpossessed,0
218144.06,M,64,5939.78,High,Urban,290858.74,856.03,2,870.22,0,Active,0
47711.92,M,29,2915.93,Low,Urban,68159.89,451.18,2,NA,0,Inactive,1
66297.63,M,18,5219.66,Low,Urban,94710.9,508.81,1,725.63,0,Active,1
14910.03,M,24,1689.23,Low,Semi-Urban,21300.04,165.04,2,683.05,0,Active,1
100118.17,F,48,3019.18,Low,Semi-Urban,125147.71,932.19,2,775.64,0,Inactive,1
27478.14,M,33,2642.24,Low,Semi-Urban,42274.06,246.13,5,734.85,0,Unpossessed,1
29410.96,F,55,3735.11,Low,Semi-Urban,39214.61,423.91,4,791.34,0,Inactive,1
152845.66,M,64,2684.22,High,Semi-Urban,218350.95,565.38,2,853.85,0,Active,1
84060.54,M,61,2045.45,High,Semi-Urban,105075.67,388.42,1,896.26,0,Active,0
60012.11,M,60,1688.61,High,Rural,75015.14,333.17,NA,NA,0,Active,1
13780.16,M,58,1364.79,Low,Semi-Urban,19685.95,127.54,3,701.57,0,NA,1
11469.23,M,18,1671.81,Low,Semi-Urban,17644.97,139.31,NA,721.97,0,Unpossessed,1
18094.36,F,64,3348.03,Low,Rural,25849.09,138.06,3,709.49,0,NA,1
25406.34,M,40,2021.75,Low,Urban,36294.77,205,1,698.25,0,Inactive,1
65643.76,M,18,3136.81,Low,Semi-Urban,100990.4,841.52,2,688.47,0,Unpossessed,1
16659.53,F,61,1678.74,High,Rural,22212.7,159.31,2,NA,0,Unpossessed,0
41722.06,F,61,NA,High,Rural,52152.58,248.85,2,818.81,1,Unpossessed,1
57902.2,F,57,3128.83,Low,Semi-Urban,72377.75,271.71,2,868.29,1,Unpossessed,1
32244.69,F,55,3698.25,Low,Semi-Urban,49607.22,194.92,3,714.22,0,Inactive,1
108790.87,F,59,2350.57,Low,Rural,155415.53,609.91,3,837.48,0,Active,1
197685.17,M,52,3019.22,Low,Rural,282407.38,971.44,2,699.81,1,Unpossessed,1
83929.78,M,31,2481.37,Low,Semi-Urban,104912.22,408.34,2,823.43,0,Unpossessed,1
42203.66,M,52,3652.54,Low,Semi-Urban,60290.94,394.76,2,798.1,0,Inactive,1
53421.76,M,38,2851.65,Low,Semi-Urban,71229.02,286.93,NA,NA,0,Unpossessed,1
20754.24,F,65,1560.02,High,Semi-Urban,29648.91,306.52,2,794.38,1,Active,1
29110.21,M,45,3140.7,Low,Semi-Urban,44784.94,479.22,1,724.44,0,Active,1
84160.28,M,38,NA,Low,Semi-Urban,112213.71,556.61,NA,814.53,0,Inactive,1
14405.82,F,18,NA,Low,Semi-Urban,19207.76,66.6,1,855.08,0,NA,1
96510.86,F,59,1921.55,Low,Semi-Urban,137872.66,786.65,5,760.25,1,Unpossessed,1
132844.86,F,28,2719.89,Low,Urban,166056.07,519.55,2,856.68,1,Active,1
76993.14,F,65,NA,High,Semi-Urban,102657.52,549.18,2,835.59,0,Unpossessed,0
29156.99,F,43,NA,NA,Semi-Urban,44856.91,500.13,1,651.73,0,Inactive,1
27149.47,F,25,1395.23,Low,Rural,38784.96,312.04,1,687.54,0,Inactive,1
46975.94,F,65,1345.33,High,Semi-Urban,58719.93,166.69,1,792.19,0,NA,0
187299.89,M,25,NA,Low,Urban,249733.19,666.17,1,845.35,0,Unpossessed,1
36643.19,M,40,2256.9,Low,Semi-Urban,56374.14,275.59,NA,712.26,0,Unpossessed,1
71698.57,F,32,1917.54,Low,Semi-Urban,110305.49,NA,3,737.47,1,Unpossessed,1
75443.74,F,64,2383.88,High,Semi-Urban,94304.67,331.76,1,873.72,0,Active,0
85739.12,M,25,NA,Low,Semi-Urban,122484.45,349.86,2,708.3,0,Inactive,1
98062.15,M,18,3068.1,Low,Rural,140088.79,403.45,2,726.11,0,Unpossessed,1
4983.5,F,41,NA,NA,Semi-Urban,7666.92,80.48,4,684.14,0,Active,1
19676.04,M,19,1276.51,Low,Semi-Urban,28108.63,129.82,4,668.73,0,Unpossessed,1
82339.22,F,35,2779.3,Low,Urban,109785.62,594.63,5,807.39,1,Inactive,1
76845.43,F,28,1553.34,Low,Rural,109779.19,467.07,5,720.74,0,Unpossessed,1
65636.19,F,18,NA,Low,Urban,87514.92,478.17,NA,791.23,0,Inactive,1
45098.94,M,18,3427.23,Low,Rural,64427.05,723.68,3,684.65,0,Unpossessed,1
122827.54,F,61,3496.85,Low,Semi-Urban,175467.92,802.03,1,773.79,1,Inactive,1
85183.01,M,59,2844.55,NA,Semi-Urban,131050.78,411.94,3,727.58,1,Active,1
27542.76,F,47,2795.43,Low,Semi-Urban,39346.8,201.28,4,783.93,0,Unpossessed,1
21257.83,M,18,1676.6,Low,Rural,30368.33,175.61,3,691.17,0,Unpossessed,1
184930.53,F,19,4948.66,Low,Semi-Urban,231163.16,999.49,2,798.95,1,Unpossessed,1
31063.02,M,35,1755.05,Low,Rural,41417.36,215.93,2,798.79,1,Inactive,1
22171.02,F,64,1975.22,Low,Semi-Urban,31672.88,280.21,2,668.17,0,Inactive,1
37010.48,F,47,979.13,Low,Semi-Urban,52872.11,250.49,2,683.58,0,Active,1
71409.02,F,45,NA,Low,Rural,102012.88,490.26,4,669.96,1,Active,1
88226.83,M,62,4840.19,High,Urban,135733.59,785.69,2,693.26,0,Active,1
47352.35,F,45,NA,Low,Semi-Urban,72849.77,371.78,1,690.53,0,Inactive,1
56344.77,F,18,936.62,Low,Semi-Urban,86684.26,336.41,3,714.54,0,Active,1
162178.23,F,18,1236.55,Low,Rural,202722.79,620,2,NA,0,Inactive,1
56876.23,M,65,NA,High,Semi-Urban,75834.97,441.79,1,831.45,0,Inactive,1
164876.44,F,55,3065.86,Low,Semi-Urban,235537.77,647.84,3,752.57,0,NA,1
26744.8,M,20,1607.69,Low,Semi-Urban,41145.84,188.43,1,727.72,0,Unpossessed,1
49985.43,F,27,1322.23,Low,Rural,66647.24,299.25,2,777.35,0,Unpossessed,1
24480.7,M,48,1678.09,Low,Semi-Urban,37662.62,426.44,2,727.29,0,Unpossessed,1
58064.94,M,62,2659.67,High,Semi-Urban,77419.92,269.78,1,855.81,0,Active,1
16405.28,M,18,2047.91,Low,Semi-Urban,23436.12,-999,3,778.05,0,Unpossessed,1
161079.41,F,23,2577.92,Low,Semi-Urban,230113.44,797.9,4,698.65,0,Active,1
243308.62,M,62,7356.57,Low,Semi-Urban,304135.78,1007.69,2,787.93,0,Inactive,1
32563.78,M,41,NA,Low,Rural,46519.69,274.33,NA,715.31,0,Active,1
31634.92,M,18,2462.42,Low,Semi-Urban,42179.89,302.85,4,840.04,0,Inactive,1
54036.06,M,53,2100.74,Low,Semi-Urban,67545.07,240.26,2,800.16,0,Unpossessed,1
84648.84,F,65,1826.46,High,Semi-Urban,120926.92,438.84,1,NA,0,Active,1
109404.85,M,18,NA,Low,Rural,136756.06,628.37,4,821.86,0,Unpossessed,1
30764.5,M,18,1650.46,NA,Semi-Urban,43949.29,142.07,2,727.78,0,Inactive,1
66356.62,F,57,4506.43,Low,Semi-Urban,94795.17,1022.01,NA,865.58,0,Active,1
19784.09,M,39,1845.49,Low,Rural,28262.98,139.95,3,669.66,0,Unpossessed,1
54534,M,46,1328.61,Low,Semi-Urban,83898.46,398.03,4,698.54,1,Unpossessed,1
75858.01,M,53,3933.38,Low,Semi-Urban,108368.58,475.68,2,746.27,0,Unpossessed,1
42523.46,F,45,865.41,Low,Semi-Urban,53154.33,216.29,3,783.98,0,Unpossessed,1
57369.18,M,56,2819.71,Low,Rural,81955.97,311.89,2,680.41,0,Unpossessed,1
58195.93,M,36,1587.5,NA,Rural,77594.57,254.94,NA,794.74,0,Active,1
189915.93,M,18,NA,Low,Urban,271308.47,959.69,NA,769.28,0,Inactive,1
103038.96,F,34,930.65,Low,Semi-Urban,147198.51,431.84,2,773.41,0,Active,1
147107.28,F,45,4100.41,Low,Semi-Urban,226318.9,587.57,4,734.39,0,Active,1
86180.07,M,34,4874.3,Low,Semi-Urban,123114.38,484.77,2,656.21,0,Active,1
47448.34,F,56,1388.99,Low,Semi-Urban,67783.35,529.92,3,701.27,0,Active,1
51933.45,F,63,NA,Low,Urban,64916.81,303.65,4,820.76,0,Inactive,1
22789.77,M,42,1002.43,Low,Rural,32556.81,255.85,1,665.88,0,Active,1
97251.53,F,58,2446.91,Low,Rural,121564.41,388.79,1,811.91,0,Inactive,1
49395.22,M,42,NA,Low,Semi-Urban,75992.65,408.73,1,656,0,NA,1
36077.34,F,65,1123.46,High,Semi-Urban,45096.67,315.75,2,840.45,0,Unpossessed,0
18304.38,F,24,1213.99,Low,Semi-Urban,26149.12,124.67,2,719.93,0,Active,1
49075.27,F,34,2426.79,Low,Semi-Urban,65433.69,297.68,NA,757.72,0,Active,1
133900.01,M,29,3438.9,Low,Semi-Urban,167375.01,608.43,3,750.55,0,Inactive,1
57891.05,F,18,2431.93,Low,Semi-Urban,89063.15,403.23,3,726.7,0,Unpossessed,1
26519.75,M,65,5191.72,High,Semi-Urban,37885.36,365.64,2,818.1,1,Unpossessed,1
34029.7,M,22,1989.4,Low,Rural,48613.85,232.21,3,709.77,0,Inactive,1
18147.3,F,58,1214.93,Low,Semi-Urban,24196.4,131.93,2,NA,0,Inactive,1
103289.14,M,60,3258.15,High,Rural,129111.42,406.46,1,858.58,0,Active,1
102234,F,37,3411.82,Low,Semi-Urban,127792.5,360.27,2,770.24,0,Inactive,1
114116.3,M,39,4437.29,Low,Urban,163023.28,844.31,1,665.8,0,Unpossessed,1
68523.18,F,48,2383.13,Low,Semi-Urban,97890.25,465.94,2,763.91,0,Inactive,1
72119.27,M,26,1363.2,Low,Semi-Urban,110952.73,564.44,NA,667.3,0,Inactive,1
16138.37,M,18,1931.42,NA,Rural,23054.82,NA,3,NA,0,Inactive,1
32939.16,M,61,1988.59,Low,Rural,47055.94,230.84,4,737.59,0,Active,1
28285.26,M,37,NA,Low,Semi-Urban,43515.79,209.42,NA,724.6,0,Inactive,1
153535.97,F,61,3380.68,Low,Semi-Urban,204714.63,527.71,3,815.51,0,NA,1
17804.58,M,42,NA,Low,Semi-Urban,25435.12,130.95,NA,665.62,1,Inactive,1
8179.1,M,18,2413.69,Low,Semi-Urban,11684.43,113.71,2,NA,0,Unpossessed,1
24560.99,F,49,NA,Low,Semi-Urban,37786.14,487.22,3,691.78,0,Active,1
184937.94,M,52,NA,Low,Semi-Urban,231172.43,767.44,3,754.14,0,Unpossessed,1
112580.31,M,29,2148.76,Low,Semi-Urban,150107.08,914.21,2,754.07,0,Unpossessed,1
37910.34,F,57,3294.43,Low,Semi-Urban,54157.63,457.83,NA,684.21,1,Active,1
72880.01,F,18,5435.62,Low,Rural,97173.35,459.47,2,766.83,0,Inactive,1
14867.83,F,18,3518.28,Low,Semi-Urban,18584.79,94.3,1,780.95,0,Unpossessed,1
25162.09,F,21,2464.81,Low,Rural,35945.85,377.15,2,803.59,0,Inactive,1
36481.3,F,18,3239.38,Low,Semi-Urban,52116.14,320.02,4,712.78,0,Unpossessed,1
38434.19,M,49,1551.92,Low,Rural,54905.99,287.87,3,693.26,0,Unpossessed,1
81018.46,M,18,1849.34,NA,Semi-Urban,115740.66,447.26,2,718.84,1,Unpossessed,1
125919.57,F,19,3440.7,Low,Semi-Urban,157399.46,490.7,1,808.48,0,Unpossessed,1
51829.67,M,65,1824.3,High,Semi-Urban,79737.96,347.62,NA,720.22,0,Inactive,1
150962.94,M,18,2348.9,Low,Semi-Urban,201283.92,778.87,2,816.98,0,Inactive,1
127874.85,F,52,3323.58,Low,Urban,159843.56,447.14,2,847.98,0,Unpossessed,1
24584.85,M,18,3010.34,Low,Semi-Urban,35121.21,281.17,3,678.22,0,Active,1
99673.13,M,18,2069.1,Low,Semi-Urban,142390.19,440.99,NA,831.58,0,Active,1
99685.32,F,61,2498.39,Low,Semi-Urban,132913.76,969.19,1,775.81,0,Inactive,1
22132.66,M,30,NA,Low,Urban,27665.83,136.62,1,NA,1,Inactive,1
32018.87,F,21,1964.58,Low,Semi-Urban,40023.59,366.11,4,766.55,0,Active,1
64085.92,F,59,1739.73,Low,Rural,91551.32,500.21,2,675.74,0,Inactive,1
29825.38,F,38,1976.52,Low,Semi-Urban,39767.17,161.42,1,799.67,0,NA,1
11011.19,F,36,NA,Low,Semi-Urban,13763.99,72.6,2,806.5,0,Active,1
24826.66,F,58,2432.93,Low,Semi-Urban,38194.86,186.24,NA,685.84,0,Inactive,1
201293.19,F,18,NA,Low,Semi-Urban,287561.7,1021.12,2,763.74,0,Active,1
96010.91,M,55,NA,NA,Semi-Urban,137158.44,605.34,NA,NA,1,Active,1
39202.01,M,63,2614.83,Low,Urban,49002.51,503.29,2,834.56,0,Unpossessed,1
